        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
#              s             mB             ?C              %            m/s              ?              m
#---------------------------------------------------------------------------------------------------------
          250,0         839,37          +6,89          77,01           17,1            326         1025,4
          251,0         838,88          +6,85          77,37           17,0            326         1030,2
          252,0         838,40          +6,82          77,20           17,0            326         1034,9
          253,0         837,92          +6,79          77,37           17,0            327         1039,7
          254,0         837,43          +6,74          77,37           17,1            327         1044,4
          255,0         836,95          +6,70          77,52           17,1            327         1049,1
          256,0         836,48          +6,66          77,64           17,2            327         1053,8
          257,0         836,01          +6,64          77,71           17,3            327         1058,3
          258,0         835,55          +6,60          77,53           17,3            326         1062,9
          259,0         835,09          +6,55          77,80           17,2            326         1067,4
          260,0         834,63          +6,51          77,95           17,1            326         1072,0
          261,0         834,17          +6,46          78,35           17,0            326         1076,5
          262,0         833,71          +6,38          78,44           16,9            326         1081,0
          263,0         833,26          +6,32          79,01           16,9            326         1085,5
          264,0         832,80          +6,27          79,06           16,9            326         1089,9
          265,0         832,35          +6,24          79,42           16,9            326         1094,4
          266,0         831,89          +6,18          79,52           16,9            326         1098,9
          267,0         831,44          +6,14          79,65           16,9            326         1103,4
          268,0         830,98          +6,08          80,08           16,8            326         1107,9
          269,0         830,52          +6,03          80,03           16,7            326         1112,4
          270,0         830,07          +6,00          80,47           16,6            326         1116,9
          271,0         829,62          +5,96          80,68           16,5            326         1121,4
          272,0         829,17          +5,91          80,94           16,5            326         1125,8
          273,0         828,72          +5,87          81,20           16,5            326         1130,2
          274,0         828,28          +5,82          81,14           16,6            326         1134,6
          275,0         827,84          +5,79          81,54           16,6            326         1138,9
          276,0         827,40          +5,75          81,66           16,6            326         1143,3
          277,0         826,96          +5,71          81,80           16,6            326         1147,6
          278,0         826,53          +5,67          81,93           16,6            326         1152,0
          279,0         826,09          +5,62          81,99           16,6            326         1156,3
          280,0         825,66          +5,58          82,35           16,6            326         1160,5
          281,0         825,23          +5,54          82,49           16,6            326         1164,8
